dataset,transform,model,split_id,Accuracy,Accuracy_sex_Male_0,Accuracy_sex_Male_0-sex_Male_1,Accuracy_sex_Male_0/sex_Male_1,Accuracy_sex_Male_1,Balanced Accuracy,CV absolute,F1,TNR,TNR_sex_Male_0,TNR_sex_Male_0-sex_Male_1,TNR_sex_Male_0/sex_Male_1,TNR_sex_Male_1,TPR,TPR-ratio,TPR_sex_Male_0,TPR_sex_Male_0-sex_Male_1,TPR_sex_Male_0/sex_Male_1,TPR_sex_Male_1,prob_pos,prob_pos_sex_Male_0,prob_pos_sex_Male_0-sex_Male_1,prob_pos_sex_Male_0/sex_Male_1,prob_pos_sex_Male_1,seed,PR_t,t_s0,t_s1
Adult Sex,no_transform,"Logistic Regression, C=1.0",0,0.8479973463802969,0.9269309288873766,0.11693133837101775,0.8738510770037914,0.8099995905163588,0.7646841243535689,0.8222398771889036,0.6615791741030218,0.9298812980044836,0.9769695806544476,0.07631442877833093,0.9218865865534832,0.9006551518761168,0.5994869507026545,0.8784569835033961,0.5363295880149813,0.07420638367942313,0.8784569835033961,0.6105359716944044,0.2013157531028001,0.08132017693092887,0.1777601228110964,0.31388020243878845,0.2590802997420253,0.0,,,
Adult Sex,no_transform,"TuningLR, wd: 0.1, RAdam",0,0.8395389335765818,0.9178291936032664,0.1159783275453654,0.8736384412768011,0.8018508660579009,0.7642213984872295,0.8171836145685278,0.655100707028697,0.9135643673514388,0.96468669033682,0.08285226508369302,0.9141148458731556,0.8818344252531268,0.6148784296230203,0.8820706215220924,0.5520599250936329,0.07380824421576293,0.8820706215220924,0.6258681693093959,0.2174033225530033,0.09399455597141887,0.1828163854314721,0.33956228570680763,0.276810941402891,0.0,,,
Adult Sex,no_transform,"TuningLR, wd: 0.1, RAdam, PR_t: 0.1",0,0.7830389473975178,0.90217761143246,0.17649070262446687,0.8043725532667139,0.7256869088079931,0.5816595731871664,0.9646369112455284,0.2940911952513716,0.9809635809047812,0.9887726705690432,0.012655934416571537,0.9872003598063772,0.9761167361524716,0.18235556546955164,0.7721879472107932,0.2262172284644195,0.05153501119276438,0.7721879472107932,0.1746822172716551,0.059512950216988686,0.03564137461721674,0.03536308875447156,0.5019596364054498,0.0710044633716883,0.0,0.1,-0.0677951684246342,-1.0623848327259329
Adult Sex,no_transform,"TuningLR, wd: 0.1, RAdam, PR_t: 0.2",0,0.8311634463885894,0.8987750935692412,0.10015914827625573,0.8885603873617582,0.7986159452929855,0.7527085794850796,0.8986971014953342,0.6367745004757375,0.9082723898423432,0.9231359754342192,0.0240889236176618,0.9739053354449424,0.8990470518165575,0.5971447691278162,0.8151738915179351,0.7086142322097378,0.13097041095433226,0.8151738915179351,0.5776438212554056,0.2169886944743898,0.1486049676760803,0.10130289850466576,0.5946390161588656,0.2499078661807461,0.0,0.2,0.05402560394692076,-0.2811924163629663
Adult Sex,no_transform,"TuningLR, wd: 0.1, RAdam, PR_t: 0.3",0,0.8389031705227078,0.9014971078598164,0.09272596826684296,0.8971422454288539,0.8087711395929733,0.7560213836217005,0.9073709723525536,0.6454556515391167,0.920363088456874,0.9272622589002976,0.011181258304704844,0.9879416441277732,0.9160810005955926,0.5916796787865268,0.8176541366239732,0.700374531835206,0.1277103986940712,0.8176541366239732,0.5726641331411348,0.20654006689333,0.14401156856073494,0.09262902764744654,0.6085666232603751,0.2366405962081815,0.0,0.3,0.13317211879648078,-0.0207949442419776
Adult Sex,no_transform,"TuningLR, wd: 0.1, RAdam, PR_t: 0.4",0,0.8010061641374354,0.8484178291936033,0.07023511759293177,0.9172163582893016,0.7781827116006715,0.7874024117652686,0.8389670366226202,0.6544756419486442,0.8143765388997096,0.8548123980424144,0.06553306510614276,0.9233363188739208,0.7892793329362716,0.7604282846308276,0.9439771564736806,0.7985018726591758,0.044734345467458025,0.9439771564736806,0.753767527191718,0.32808137767089585,0.21937733923103087,0.16103296337737982,0.5766861142476865,0.3804103026084108,0.0,0.4,0.2387008052625609,0.07293586121234462
Adult Sex,no_transform,"TuningLR, wd: 0.1, RAdam, PR_t: 0.5",0,0.7774829311440971,0.8336168764886016,0.08315620739233197,0.9002464924383413,0.7504606690962696,0.7986497022840475,0.7822835565121351,0.6518768379173153,0.7566792841130425,0.8323577391805009,0.1226495795616802,0.8526479976236719,0.7097081596188207,0.8406201204550524,0.9960638956783968,0.8434456928838951,0.003319890236797796,0.9960638956783968,0.8401258026470974,0.3913536224673135,0.244385845525689,0.21771644348786487,0.5288566002288747,0.4621022890135539,0.0,0.5,0.3864409663150731,0.18752303345481355
Adult Sex,no_transform,"Logistic Regression, C=1.0",1,0.8480249882522044,0.9251446070091868,0.1142441524823451,0.8765121132233864,0.8109004545268417,0.7644033688269495,0.8192816713687157,0.6612863479546573,0.930212046598802,0.9773534209768736,0.0764004727934311,0.9218292266096862,0.9009529481834424,0.5985946910550971,0.8447024089862009,0.5176029962546816,0.09516073064873863,0.8447024089862009,0.6127637269034203,0.2008458412803715,0.07885335148009527,0.1807183286312843,0.303782567675565,0.25957168011137954,2410.0,,,
Adult Sex,no_transform,"TuningLR, wd: 0.1, RAdam",1,0.8478867788926666,0.9262504253147328,0.1160870413419226,0.8746699184483753,0.8101633839728103,0.7671532334784141,0.8162550835917175,0.6642260052474219,0.9272353092499356,0.9766817004126284,0.08013613757760751,0.9179506101693606,0.8965455628350208,0.6070711577068927,0.8588652920113594,0.5325842696629214,0.08751794498784526,0.8588652920113594,0.6201022146507666,0.2051856151698593,0.08115005103776794,0.18374491640828253,0.3063480285041477,0.2648949674460505,2410.0,,,
Adult Sex,no_transform,"TuningLR, wd: 0.1, RAdam, PR_t: 0.1",1,0.7872405119274677,0.9008166042871724,0.16825037030822002,0.8132246125265878,0.7325662339789525,0.5973899532157192,0.9523536768586668,0.3398233124624753,0.9738341112050274,0.9842625467805391,0.016901022063445792,0.9828287461320884,0.9673615247170936,0.2209457952264109,0.8657904398960617,0.24943820224719104,0.0334769913967127,0.8657904398960617,0.2159612108504783,0.07443956104707411,0.04227628445049336,0.04764632314133334,0.4701407753030503,0.0899226075918267,2410.0,0.1,-0.0677951684246342,-1.0623848327259329
