dataset,transform,model,repeat,Accuracy,CV absolute,TNR,TNR_sex_Male_0,TNR_sex_Male_0-sex_Male_1,TNR_sex_Male_0/sex_Male_1,TNR_sex_Male_1,TPR,TPR_sex_Male_0,TPR_sex_Male_0-sex_Male_1,TPR_sex_Male_0/sex_Male_1,TPR_sex_Male_1,prob_pos,prob_pos_sex_Male_0,prob_pos_sex_Male_0-sex_Male_1,prob_pos_sex_Male_0/sex_Male_1,prob_pos_sex_Male_1
Adult Sex,no_transform,GPyT_in_False,0-0,0.8536207849640686,0.8083128091925267,0.9215052182860504,0.9715930902111324,0.08116907877711632,0.9164577438900088,0.8904240114340162,0.6476360392506689,0.5718562874251497,0.08904518008009132,0.8652670867622408,0.6609014675052409,0.2195688225538972,0.09016672337529773,0.19168719080747326,0.3199058761938221,0.28185391418277106
Adult Sex,no_transform,GPyT_dem_par_in_False,0-0,0.845992260917634,0.9080152755554668,0.9297368807878876,0.9335892514395392,0.0062428960322025145,0.9933130163799804,0.9273463554073368,0.5918822479928635,0.6916167664670658,0.11719328638320835,0.8305516984762269,0.5744234800838575,0.19955776672194586,0.13746172167403878,0.09198472444453312,0.5991015507078378,0.2294464461185719
Adult Sex,no_transform,GPyT_dem_par_in_False_tar_max,0-0,0.8440022111663903,0.8938869135908689,0.9082757606938116,0.9159309021113244,0.012405413783549202,0.9864559501650688,0.9035254883277752,0.6489741302408564,0.7365269461077845,0.10287914736564607,0.8603185560157488,0.6336477987421384,0.2298507462686567,0.15821708063967335,0.10611308640913113,0.5985585467074631,0.2643301670488045
Adult Sex,no_transform,GPyT_in_False,1-2410,0.8572692095080154,0.8217789451124721,0.9322357783330883,0.9761996161228408,0.07124487577029183,0.9270181276517458,0.9049547403525487,0.6297948260481713,0.5778443113772455,0.061044577511643376,0.9044519656339496,0.6388888888888888,0.2070757324488668,0.08676420551207893,0.17822105488752804,0.327430308316906,0.26498526039960696
Adult Sex,no_transform,GPyT_dem_par_in_False,1-2410,0.8473189607517966,0.8970805772622871,0.9250330736439806,0.9351247600767756,0.01635391681808085,0.9825115134190884,0.9187708432586946,0.6115075825156111,0.7125748502994012,0.11875933667256675,0.8333377376107677,0.5938155136268344,0.20796019900497512,0.13848247703300445,0.1029194227377129,0.5736594333538162,0.2414018997707173
Adult Sex,no_transform,GPyT_dem_par_in_False_tar_max,1-2410,0.8393587617468214,0.8594718886604322,0.8843157430545348,0.909021113243762,0.04003588218135135,0.9559571481915456,0.8689852310624107,0.7029438001784122,0.7544910179640718,0.06057068253430242,0.9197198096569166,0.6939203354297694,0.26124930901050303,0.16638312351139845,0.14052811133956786,0.5421213191892204,0.3069112348509663
Adult Sex,no_transform,GPyT_in_False,2-4820,0.8424543946932007,0.7673484110308448,0.913567543730707,0.983493282149712,0.11331700773332333,0.8847811065006608,0.8701762744163888,0.6266726137377342,0.4281437125748503,0.2332818639450659,0.6473044402478719,0.6614255765199162,0.220342730790492,0.06328683225586934,0.2326515889691552,0.21385135459564925,0.29593842122502456
Adult Sex,no_transform,GPyT_dem_par_in_False,2-4820,0.8466556108347153,0.9444477940862612,0.9481111274437748,0.9381957773512476,0.016068157855993914,0.983161725741522,0.9542639352072416,0.5388046387154326,0.7065868263473054,0.19715286408315447,0.7209785737128238,0.5094339622641509,0.17258153676064125,0.13507995916978566,0.055552205913738766,0.7085895452669339,0.1906321650835244
Adult Sex,no_transform,GPyT_dem_par_in_False_tar_max,2-4820,0.8500829187396352,0.8881040263276646,0.9106276642657652,0.9178502879078696,0.011704504201342614,0.9872479157488508,0.9061457837065268,0.6663693131132917,0.7395209580838323,0.08595701678404201,0.8837666250774493,0.6535639412997903,0.23239358761746826,0.15685607349438585,0.1118959736723354,0.5836460601808167,0.26875204716672124
Adult Sex,no_transform,GPyT_in_False,3-7230,0.8568269762299613,0.8317832169273982,0.933264736145818,0.9723608445297504,0.06335655677367613,0.9348425462315728,0.9090042877560744,0.6248884924174843,0.5898203592814372,0.041206894387325936,0.9346987088945036,0.6310272536687631,0.205085682697623,0.09152773052058524,0.1682167830726018,0.3523759915250274,0.259744513593187
