dataset,transform,model,repeat,Accuracy,CV absolute,prob_pos,prob_pos_sex_Male_0,prob_pos_sex_Male_0-sex_Male_1,prob_pos_sex_Male_0/sex_Male_1,prob_pos_sex_Male_1
Adult Sex,no_transform,"LR (torch), wd: 0.1, RAdam, PR_t: 0.21581616218",0-0,0.8175787728026535,0.9337799031224148,0.18794914317302366,0.14324600204151072,0.06622009687758526,0.6838624616618174,0.209466098919096
Adult Sex,no_transform,"LR (torch), wd: 0.1, RAdam, PR_t: 0.21581616218",1-2410,0.8311774461028192,0.8933038715927873,0.21901603095632946,0.14698877169105135,0.10669612840721264,0.5794147449616267,0.253684900098264
Adult Sex,no_transform,"LR (torch), wd: 0.1, RAdam, PR_t: 0.21581616218",2-4820,0.8400221116639027,0.920157126558619,0.1831951354339414,0.1292956788023137,0.07984287344138102,0.6182297688073042,0.20913855224369474
Adult Sex,no_transform,"LR (torch), wd: 0.1, RAdam, PR_t: 0.21581616218",3-7230,0.8141514648977336,0.9252722153601002,0.18076285240464346,0.13031643416127936,0.07472778463989982,0.6355528330581244,0.2050442188011792
Adult Sex,no_transform,"LR (torch), wd: 0.1, RAdam, PR_t: 0.21581616218",4-9640,0.8233278054173576,0.9385858899489978,0.16428966279712548,0.12283089486219805,0.06141411005100211,0.6666715058031832,0.18424500491320006
Adult Sex,no_transform,"LR (torch), wd: 0.1, RAdam, PR_t: 0.21581616218",5-12050,0.8348258706467662,0.9156109815400312,0.19170812603648424,0.13473970738346375,0.0843890184599689,0.6148883806303661,0.21912872584343268
Adult Sex,no_transform,"LR (torch), wd: 0.1, RAdam, PR_t: 0.21581616218",6-14460,0.8254284134881149,0.929788603671532,0.19778883360972915,0.15039128955427014,0.07021139632846812,0.6817291863536553,0.2206026858827383
Adult Sex,no_transform,"LR (torch), wd: 0.1, RAdam, PR_t: 0.21581616218",7-16870,0.8200110558319513,0.9186267736585604,0.16517412935323386,0.11024157876828854,0.0813732263414396,0.5753291281702306,0.1916148051097281
Adult Sex,no_transform,"LR (torch), wd: 0.1, RAdam, PR_t: 0.21581616218",8-19280,0.81934770591487,0.9662439133881444,0.12316196793808735,0.10037427696495406,0.033756086611855626,0.7483337425494622,0.13413036357680969
Adult Sex,no_transform,"LR (torch), wd: 0.1, RAdam, PR_t: 0.21581616218",9-21690,0.820342730790492,0.9284007932001355,0.19226091763405195,0.1439265056141545,0.0715992067998645,0.667792738054732,0.215525712414019
