dataset,transform,model,repeat,Accuracy,CV absolute,prob_pos,prob_pos_sex_Male_0,prob_pos_sex_Male_0-sex_Male_1,prob_pos_sex_Male_0/sex_Male_1,prob_pos_sex_Male_1
Adult Sex,no_transform,"LR (torch), wd: 0.1, RAdam",0-0,0.8436705362078496,0.8128730524263028,0.2158098396904367,0.08948621980265396,0.1871269475736972,0.32350672475725584,0.2766131673763511
Adult Sex,no_transform,"LR (torch), wd: 0.1, RAdam, PR_t: 0.1",0-0,0.7852957435046988,0.9544595329400618,0.07429519071310116,0.04355222864920042,0.04554046705993815,0.4888417428897384,0.08909269570913855
Adult Sex,no_transform,"LR (torch), wd: 0.1, RAdam, PR_t: 0.2",0-0,0.8342730790491985,0.9007090009135421,0.20619126589275846,0.1391629806056482,0.09929099908645794,0.5836051920179175,0.2384539796921061
Adult Sex,no_transform,"LR (torch), wd: 0.1, RAdam, PR_t: 0.3",0-0,0.8159203980099502,0.9341017102082334,0.20950801547816472,0.16502211636611092,0.0658982897917666,0.7146276897386334,0.2309204061578775
Adult Sex,no_transform,"LR (torch), wd: 0.1, RAdam, PR_t: 0.4",0-0,0.8063018242122719,0.8771606350638549,0.2932006633499171,0.21027560394692071,0.12283936493614515,0.6312403331857904,0.33311496888306585
Adult Sex,no_transform,"LR (torch), wd: 0.1, RAdam, PR_t: 0.5",0-0,0.7830845771144279,0.8168523711804843,0.3679380873410724,0.2443007825791085,0.1831476288195158,0.5715327886697459,0.4274484113986243
Adult Sex,no_transform,"LR (torch), wd: 0.1, RAdam, PR_t: 0.6",0-0,0.7506909894969597,0.7535326616638993,0.4430071862907684,0.276624702279687,0.24646733833610074,0.5288260588978613,0.5230920406157877
Adult Sex,no_transform,"LR (torch), wd: 0.1, RAdam, PR_t: 0.7",0-0,0.7197346600331676,0.7162515197374455,0.4960751796572692,0.30452534875808096,0.28374848026255445,0.5176591813799672,0.5882738290206354
Adult Sex,no_transform,"LR (torch), wd: 0.1, RAdam, PR_t: 0.8",0-0,0.6859038142620232,0.6948196693394579,0.5418463239358762,0.3358285130996937,0.3051803306605421,0.5239062087344737,0.6410088437602358
Adult Sex,no_transform,"LR (torch), wd: 0.1, RAdam, PR_t: 0.9",0-0,0.6737423991155335,0.6838115265892895,0.5571033720287452,0.34365430418509696,0.3161884734107105,0.5208124053994048,0.6598427775958075
Adult Sex,no_transform,"LR (torch), wd: 0.1, RAdam",1-2410,0.8176893311221669,0.8487804820965483,0.16196793808734108,0.059884314392650566,0.15121951790345162,0.28367232248372715,0.2111038322961022
Adult Sex,no_transform,"LR (torch), wd: 0.1, RAdam, PR_t: 0.1",1-2410,0.780873410724157,0.9573298292488815,0.06589275843007186,0.037087444709084726,0.04267017075111835,0.4650019248330007,0.07975761546020307
Adult Sex,no_transform,"LR (torch), wd: 0.1, RAdam, PR_t: 0.2",1-2410,0.8400221116639027,0.915064661770444,0.17744610281923714,0.120108880571623,0.08493533822955618,0.5857706268133627,0.2050442188011792
Adult Sex,no_transform,"LR (torch), wd: 0.1, RAdam, PR_t: 0.3",1-2410,0.8380320619126589,0.8917931893249875,0.2234383637368712,0.15039128955427014,0.10820681067501248,0.5815637834188561,0.25859810022928265
Adult Sex,no_transform,"LR (torch), wd: 0.1, RAdam, PR_t: 0.4",1-2410,0.8086235489220563,0.8764660332760229,0.28822553897180764,0.20483157536577068,0.1235339667239771,0.6237913212884767,0.3283655420897478
Adult Sex,no_transform,"LR (torch), wd: 0.1, RAdam, PR_t: 0.5",1-2410,0.7646213377556661,0.7744392560288259,0.4098396904367054,0.2575706022456618,0.2255607439711741,0.533127490614241,0.4831313462168359
Adult Sex,no_transform,"LR (torch), wd: 0.1, RAdam, PR_t: 0.6",1-2410,0.7485903814262023,0.7413244988976087,0.4488667772249862,0.27424293977543385,0.2586755011023913,0.5146058359768897,0.5329184408778251
Adult Sex,no_transform,"LR (torch), wd: 0.1, RAdam, PR_t: 0.7",1-2410,0.7427307904919845,0.7304279159371909,0.4582642343836374,0.2762844504933651,0.26957208406280914,0.5061484712608723,0.5458565345561742
Adult Sex,no_transform,"LR (torch), wd: 0.1, RAdam, PR_t: 0.8",1-2410,0.7230514096185738,0.7073033324057116,0.49054726368159207,0.2929567880231371,0.2926966675942883,0.5002220770887236,0.5856534556174254
Adult Sex,no_transform,"LR (torch), wd: 0.1, RAdam, PR_t: 0.9",1-2410,0.696849087893864,0.6883761163083808,0.5271420674405749,0.3167744130656686,0.31162388369161925,0.5040981407815931,0.6283982967572879
Adult Sex,no_transform,"LR (torch), wd: 0.1, RAdam",2-4820,0.8092868988391376,0.8857128464385624,0.12172470978441127,0.04457298400816604,0.11428715356143765,0.2805800416019194,0.15886013756960368
Adult Sex,no_transform,"LR (torch), wd: 0.1, RAdam, PR_t: 0.1",2-4820,0.7920398009950249,0.9337873701612891,0.09165284687672748,0.04695474651241919,0.06621262983871085,0.41491415659165204,0.11316737635113004
Adult Sex,no_transform,"LR (torch), wd: 0.1, RAdam, PR_t: 0.2",2-4820,0.8465450525152017,0.8951238230079974,0.19635157545605306,0.12555290915277306,0.10487617699200258,0.5448657166217713,0.23042908614477564
Adult Sex,no_transform,"LR (torch), wd: 0.1, RAdam, PR_t: 0.3",2-4820,0.8443338861249309,0.9112031996373025,0.1994472084024323,0.13950323239197004,0.08879680036269749,0.611052178612173,0.22830003275466754
Adult Sex,no_transform,"LR (torch), wd: 0.1, RAdam, PR_t: 0.4",2-4820,0.8023217247097844,0.8369528039678285,0.33565505804311774,0.22558693433140525,0.16304719603217155,0.5804609443858241,0.3886341303635768
Adult Sex,no_transform,"LR (torch), wd: 0.1, RAdam, PR_t: 0.5",2-4820,0.7689331122166944,0.7698168803447142,0.41636263128800444,0.2609731201088806,0.23018311965528582,0.5313444052633627,0.4911562397641664
Adult Sex,no_transform,"LR (torch), wd: 0.1, RAdam, PR_t: 0.6",2-4820,0.7609729132117192,0.7628903659261407,0.4285240464344942,0.2684586594079619,0.23710963407385932,0.531003749382901,0.5055682934818212
Adult Sex,no_transform,"LR (torch), wd: 0.1, RAdam, PR_t: 0.7",2-4820,0.7252625760088447,0.7191218160462653,0.48767274737423993,0.2980605648179653,0.28087818395373465,0.5148395498666184,0.5789387487716999
Adult Sex,no_transform,"LR (torch), wd: 0.1, RAdam, PR_t: 0.8",2-4820,0.7168601437258154,0.709800834012518,0.4987285793255942,0.3028240898264716,0.29019916598748197,0.5106445436289521,0.5930232558139535
Adult Sex,no_transform,"LR (torch), wd: 0.1, RAdam, PR_t: 0.9",2-4820,0.703372028745163,0.6944089264771949,0.5179657269209508,0.3116706362708404,0.3055910735228052,0.5049246232607459,0.6172617097936456
