dataset,transform,model,repeat,Accuracy,TNR,TNR_race_0,TNR_race_0-race_1,TNR_race_0/race_1,TNR_race_1,TPR,TPR_race_0,TPR_race_0-race_1,TPR_race_0/race_1,TPR_race_1
Compas Race,no_transform,"LR (torch), wd: 0.1, RAdam",0-0,0.6707218167072182,0.7276785714285714,0.6995192307692307,0.07391826923076927,0.9044289044289044,0.7734375,0.6024955436720143,0.6624685138539043,0.20515144068317254,0.6903227302235,0.4573170731707317
Compas Race,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 0.9, TNR_t: 0.6",0-0,0.6739659367396593,0.5997023809523809,0.5552884615384616,0.11658653846153845,0.8264758497316638,0.671875,0.7629233511586453,0.8035264483627204,0.1388923020212569,0.8271465708387492,0.6646341463414634
Compas Race,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 0.9, TNR_t: 0.65",0-0,0.6731549067315491,0.6130952380952381,0.5673076923076923,0.12019230769230772,0.8251748251748251,0.6875,0.7450980392156863,0.7909319899244333,0.1567856484610186,0.8017710113406866,0.6341463414634146
Compas Race,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 1.0, TNR_t: 0.65",0-0,0.6650446066504461,0.5446428571428571,0.5096153846153846,0.09194711538461542,0.8471528471528471,0.6015625,0.8092691622103387,0.8589420654911839,0.16991767524728152,0.8021779557971532,0.6890243902439024
Compas Race,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 1.0, TNR_t: 0.6",0-0,0.635036496350365,0.4598214285714286,0.4254807692307692,0.09014423076923077,0.8251748251748251,0.515625,0.8449197860962567,0.8891687657430729,0.15136388769429254,0.8297692254542942,0.7378048780487805
Compas Race,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 1.0, TNR_t: 0.7",0-0,0.6658556366585564,0.5744047619047619,0.53125,0.11328125,0.8242424242424242,0.64453125,0.7754010695187166,0.8211586901763224,0.15652454383485892,0.8093857549004939,0.6646341463414634
Compas Race,no_transform,"LR (torch), wd: 0.1, RAdam",1-2410,0.6682887266828873,0.7425595238095238,0.6923076923076923,0.1319110576923077,0.8399562522785271,0.82421875,0.5793226381461676,0.6246851385390428,0.15517294341709165,0.7515981510621558,0.4695121951219512
Compas Race,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 0.9, TNR_t: 0.6",1-2410,0.6561232765612328,0.5639880952380952,0.5,0.16796875,0.7485380116959064,0.66796875,0.7664884135472371,0.8035264483627204,0.1266971800700374,0.8423235721385428,0.6768292682926829
Compas Race,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 0.9, TNR_t: 0.65",1-2410,0.6536901865369019,0.5669642857142857,0.5024038461538461,0.16947115384615385,0.7477638640429338,0.671875,0.7575757575757576,0.7959697732997482,0.1313356269582847,0.8349992281568385,0.6646341463414634
Compas Race,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 1.0, TNR_t: 0.65",1-2410,0.6399026763990268,0.4880952380952381,0.4230769230769231,0.17067307692307693,0.7125506072874493,0.59375,0.82174688057041,0.8564231738035264,0.11861829575474593,0.8614956958393114,0.7378048780487805
Compas Race,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 1.0, TNR_t: 0.6",1-2410,0.6212489862124899,0.4360119047619048,0.37259615384615385,0.16646634615384615,0.6911928651059086,0.5390625,0.8431372549019608,0.8740554156171285,0.10576273269029923,0.8789976804667182,0.7682926829268293
