dataset,transform,model,repeat,Accuracy,TNR,TNR_sex_0,TNR_sex_0-sex_1,TNR_sex_0/sex_1,TNR_sex_1,TPR,TPR_sex_0,TPR_sex_0-sex_1,TPR_sex_0/sex_1,TPR_sex_1
Compas Sex,no_transform,"LR (torch), wd: 0.1, RAdam",0-0,0.6790923824959482,0.7619047619047619,0.8355263157894737,0.09514170040485824,0.8861296184130829,0.7403846153846154,0.5800711743772242,0.4819277108433735,0.11514953341549915,0.8071446625663493,0.5970772442588727
Compas Sex,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 0.9, TNR_t: 0.6",0-0,0.6572123176661264,0.5773809523809523,0.6644736842105263,0.11255060728744937,0.8306169078446307,0.5519230769230771,0.7526690391459074,0.7349397590361446,0.020801368312498347,0.9724755375091528,0.755741127348643
Compas Sex,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 0.9, TNR_t: 0.65",0-0,0.6612641815235009,0.5922619047619048,0.6842105263157895,0.11882591093117413,0.8263313609467455,0.5653846153846154,0.7437722419928826,0.7228915662650602,0.02449883039464751,0.9672208386619102,0.7473903966597077
Compas Sex,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 1.0, TNR_t: 0.65",0-0,0.6288492706645057,0.46875,0.5394736842105263,0.09139676113360323,0.8305816135084428,0.4480769230769231,0.8202846975088968,0.8072289156626506,0.015318057197474588,0.981377285792918,0.8225469728601252
Compas Sex,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 1.0, TNR_t: 0.6",0-0,0.6191247974068071,0.4226190476190476,0.4802631578947368,0.07449392712550608,0.8448893572181243,0.4057692307692308,0.8540925266903915,0.8433734939759037,0.012576401639962764,0.9853070819864824,0.8559498956158664
Compas Sex,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 1.0, TNR_t: 0.7",0-0,0.6410048622366289,0.5193452380952381,0.6118421052631579,0.11953441295546552,0.8046319272125725,0.4923076923076923,0.7864768683274022,0.7710843373493976,0.018059712754986523,0.9771148084401096,0.7891440501043842
Compas Sex,no_transform,"LR (torch), wd: 0.1, RAdam",1-2410,0.6839546191247974,0.7648809523809523,0.8092105263157895,0.057287449392712575,0.9292057535959974,0.7519230769230769,0.5871886120996441,0.5060240963855421,0.09522851321779813,0.8416164658634538,0.6012526096033403
Compas Sex,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 0.9, TNR_t: 0.6",1-2410,0.6588330632090762,0.53125,0.5657894736842105,0.04463562753036432,0.921109123434705,0.5211538461538462,0.8113879003558719,0.7951807228915663,0.01901551927962375,0.9766450417052828,0.8141962421711899
Compas Sex,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 0.9, TNR_t: 0.65",1-2410,0.6628849270664505,0.5505952380952381,0.5789473684210527,0.03663967611336039,0.9367132867132866,0.5423076923076923,0.797153024911032,0.7951807228915663,0.0023140579017530967,0.9970983410080112,0.7974947807933194
Compas Sex,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 1.0, TNR_t: 0.65",1-2410,0.646677471636953,0.4806547619047619,0.506578947368421,0.03350202429149796,0.933866133866134,0.4730769230769231,0.8451957295373665,0.8192771084337349,0.030409739165429994,0.9642106509576388,0.8496868475991649
Compas Sex,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 1.0, TNR_t: 0.6",1-2410,0.6280388978930308,0.4419642857142857,0.4671052631578948,0.03248987854251012,0.9304442036836404,0.4346153846153846,0.8505338078291815,0.8313253012048193,0.022536911738813226,0.9736059151029548,0.8538622129436325
Compas Sex,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 1.0, TNR_t: 0.7",1-2410,0.6572123176661264,0.5386904761904762,0.5592105263157895,0.026518218623481804,0.9525791855203621,0.5326923076923077,0.798932384341637,0.7831325301204819,0.018537616017305192,0.9768762550200802,0.8016701461377871
Compas Sex,no_transform,"LR (torch), wd: 0.1, RAdam",2-4820,0.6742301458670988,0.7991071428571429,0.8618421052631579,0.08107287449392707,0.9059307105108632,0.7807692307692308,0.5249110320284698,0.3855421686746988,0.16351837412279602,0.7021851665215997,0.5490605427974948
