dataset,transform,model,split_id,Accuracy,F1,TNR,TNR_sex_0,TNR_sex_0-sex_1,TNR_sex_0/sex_1,TNR_sex_1,TPR,TPR_sex_0,TPR_sex_0-sex_1,TPR_sex_0/sex_1,TPR_sex_1,seed
Compas Sex,no_transform,"Logistic Regression, C=1.0",0,0.6774716369529984,0.6120857699805069,0.7767857142857143,0.8618421052631579,0.10991902834008094,0.8724603640634175,0.7519230769230769,0.5587188612099644,0.4457831325301205,0.13250496767864786,0.7708668609455873,0.5782881002087683,0.0
Compas Sex,no_transform,LRCV,0,0.6717990275526742,0.6079380445304937,0.7663690476190477,0.8421052631578947,0.09787449392712544,0.8837740384615386,0.7442307692307693,0.5587188612099644,0.43373493975903615,0.14664084312196596,0.7473346623905694,0.5803757828810021,0.0
Compas Sex,no_transform,SVM,0,0.6823338735818476,0.6103379721669981,0.7961309523809523,0.8486842105263158,0.06791497975708505,0.9199761478831248,0.7807692307692308,0.5462633451957295,0.4939759036144578,0.061347687199738425,0.8895280369598695,0.5553235908141962,0.0
Compas Sex,no_transform,Agarwal LR,0,0.6774716369529984,0.6120857699805069,0.7767857142857143,0.8618421052631579,0.10991902834008094,0.8724603640634175,0.7519230769230769,0.5587188612099644,0.4457831325301205,0.13250496767864786,0.7708668609455873,0.5782881002087683,0.0
Compas Sex,no_transform,Kamiran & Calders LR,0,0.6799027552674229,0.6183574879227053,0.7723214285714286,0.8486842105263158,0.09868421052631582,0.8837209302325582,0.75,0.5693950177935944,0.4578313253012048,0.13089518826873253,0.7776638468768692,0.5887265135699373,0.0
Compas Sex,no_transform,"ZafarEqOpp, τ=5.0, μ=1.2",0,0.6661264181523501,0.6030828516377649,0.7574404761904762,0.8092105263157895,0.06690283400809716,0.9173233270794248,0.7423076923076923,0.5569395017793595,0.4457831325301205,0.13041728500641392,0.7736598568185787,0.5762004175365344,0.0
Compas Sex,no_transform,"Logistic Regression, C=1.0",1,0.6750405186385737,0.6269767441860465,0.7380952380952381,0.7894736842105263,0.06639676113360328,0.915897435897436,0.7230769230769231,0.599644128113879,0.5301204819277109,0.0815705410367985,0.8666474772811383,0.6116910229645094,2410.0
Compas Sex,no_transform,LRCV,1,0.6742301458670988,0.6242990654205609,0.7410714285714286,0.7894736842105263,0.06255060728744942,0.9207692307692308,0.7269230769230769,0.5943060498220639,0.5180722891566265,0.08944336846341527,0.8527719123918354,0.6075156576200418,2410.0
Compas Sex,no_transform,SVM,1,0.6904376012965965,0.6354961832061069,0.7723214285714286,0.8026315789473685,0.03917004048583006,0.9511979823455232,0.7634615384615384,0.5925266903914591,0.4939759036144578,0.11562743667781775,0.8103234857237167,0.6096033402922756,2410.0
Compas Sex,no_transform,Agarwal LR,1,0.6717990275526742,0.6232558139534885,0.7351190476190477,0.7763157894736842,0.05323886639676112,0.9314211212516298,0.7230769230769231,0.5960854092526691,0.5301204819277109,0.0773951756923309,0.8726038173311804,0.6075156576200418,2410.0
Compas Sex,no_transform,Kamiran & Calders LR,1,0.6685575364667747,0.6195348837209302,0.7321428571428571,0.7763157894736842,0.05708502024291495,0.9264667535853977,0.7192307692307692,0.5925266903914591,0.5180722891566265,0.08735568579118147,0.8557125051931865,0.605427974947808,2410.0
Compas Sex,no_transform,"ZafarEqOpp, τ=5.0, μ=1.2",1,0.6596434359805511,0.6174863387978143,0.7068452380952381,0.7302631578947368,0.03026315789473688,0.9585585585585584,0.7,0.603202846975089,0.5542168674698795,0.05747415549462985,0.9060405444302808,0.6116910229645094,2410.0
Compas Sex,no_transform,"Logistic Regression, C=1.0",2,0.6782820097244733,0.6111655239960823,0.78125,0.8618421052631579,0.10414979757085019,0.8791544333529067,0.7576923076923077,0.5551601423487544,0.40963855421686746,0.17073722866413465,0.7058160700355378,0.5803757828810021,4820.0
Compas Sex,no_transform,LRCV,2,0.673419773095624,0.6060606060606061,0.7752976190476191,0.8618421052631579,0.11184210526315785,0.8702290076335878,0.75,0.5516014234875445,0.40963855421686746,0.16656186331966694,0.7109306792386939,0.5762004175365344,4820.0
Compas Sex,no_transform,SVM,2,0.6782820097244733,0.605759682224429,0.7916666666666666,0.868421052631579,0.09919028340080971,0.8857808857808858,0.7692307692307693,0.5427046263345195,0.4457831325301205,0.11371582362854338,0.7967541809027153,0.5594989561586639,4820.0
Compas Sex,no_transform,Agarwal LR,2,0.6758508914100486,0.6116504854368932,0.7723214285714286,0.8355263157894737,0.08168016194331984,0.9022410660205936,0.7538461538461538,0.5604982206405694,0.43373493975903615,0.14872852579419976,0.7446560435289545,0.5824634655532359,4820.0
Compas Sex,no_transform,Kamiran & Calders LR,2,0.6726094003241491,0.6062378167641326,0.7723214285714286,0.8355263157894737,0.08168016194331984,0.9022410660205936,0.7538461538461538,0.5533807829181495,0.42168674698795183,0.15451367054858256,0.7318404050986556,0.5762004175365344,4820.0
Compas Sex,no_transform,"ZafarEqOpp, τ=5.0, μ=1.2",2,0.6717990275526742,0.6079380445304937,0.7663690476190477,0.8355263157894737,0.0893724696356275,0.8930345245305875,0.7461538461538462,0.5587188612099644,0.43373493975903615,0.14664084312196596,0.7473346623905694,0.5803757828810021,4820.0
